Review,Timestamp,Source,Product,Aspect_List
"This is my first purchase of a cell phone from Amazon. The phone is beautiful and is just what I wanted. The price was right and the delivery time was excellent. The only issue I had was that I did not know that I needed to call Verizon first before it would activate. It seems like Amazon could mention that step when they sell a new phone. Even Verizon did not mention it in the accompanying paperwork that came with the phone. After several unsuccessful attempts to activate the phone, which is supposed to be automated, I went to the Verizon website and found a number I should call prior to letting the phone run the auto-setup and activate the phone. Other than that, I am thrilled with my purchase.",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"When I ordered this item it was said to take about two to three weeks to come in. To my suprise it took only about 5 days for the item to arive. The quality of the product was exactly as posted 9 out of 10. Not a single scratch, dent, or blemish from my evaluation. Everything has worked perfectly from the time I opened it put of the box, and I received exactly why was promised. My girl friend wanted a phone that would be better than the generic $40.00 go phone that could be purchased for her carrier, and what we got was many folds greater. S pen was perfect. Phone was without a blemish. She literally can't stop taken pictures with this phone because Samsungs camers rock. The only down side that I would have to say is that the battery performance is quite poor, but that would be expected if it was the original battery that game with the phone on a older model. I plan on buying a battery for a good deal off amazon for this phone in new condition, which should fix all off her problems I rated this 5 stars to be nice, but in all reality I would give this a 4 out of 5 for the lack of battery porformance. Thanks for saving me money once again amazon. ^.^",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"When I got this phone I LOVED it! It was awesome, big, fast, lasted all day, great camera, great reception! Then they ""upgraded"" my operating system to KitKat and that all changed! Ok, it's still big... KitKat turned my phone into a brick! I did not move, but I could no longer MAKE OR RECEIVE calls at home! Just got a ""Network Not Available"" message or something like that. My data signal was likewise in the toilet. Battery went to the potty, and the worst was the formerly awesome camera became practically useless because now when you tapped the shutter button, you had to wait about 3 seconds (no exaggeration) for the picture to take. If you moved, the picture was trash. This all started immediately following the KitKat update - google the problems, they're myriad. I wouldn't buy another one till the next software update comes out. Total brick, and total waste of my money. Thanks for nothing Verizon, or Samsung, or whoever's fault this is - because no matter who you call it's always the ""other's one"" fault...",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I didn't find the need to buy a smartphone until last December. I eschewed them. I had been using my dinosaur phone for the last three years. It could take abuse like no other. It might have required the battery pulled now and then to reset it, but it kept doing the job I hired it for, making calls. I always had a cheap company smartphone or my wife nearby with hers, so I didn't get one until I got this one. This phone is awesome. It's huge screen is perfect for emails, surfing the web, whatever. But that screen size comes with a price. This phone is huge. People will tease you about it. You can always show then how good of pictures it takes and how fast the shutter speed is.... Or any of the plethora of other features you'll like if you get this phone. Oh yeah, the battery lasts forever.",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"The Samsung Galaxy Note 3 is a powerful personal pocket computer that you can also use as a phone as well. I bought this phone a year late and it is still miles beyond most of the phones out there. It's fast, smooth and the battery life is fantastic. If your a doodler like me the s-pen in combination with sketchbook for galaxy is top class when it comes to digital art applications. I would recommend downloading the Google Now launcher as opposed to using the standard Tocuhwiz that the phone comes with as it is a little clunky and if you have a Google account that you use frequently the launcher really makes the experience personalized and it's scary accurate. The only downside to this phone is speaker quality without headphones.",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Love, love, love this phone!!! Having the 32 GB makes a huge difference in the speed. I received the phone in a new Samsung box, with a OEM charger cable and plug. Very easy to use and see. Yes, it's a bit bulky but I bought a Bluetooth Earbud DABS AUDIO S10, Mini Wireless Headset for $25 prime and it works great. The S note feature is wonderful for snapping a picture of your screen and making notes. Or just to use as a note pad. Highly recommend!",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I am slow to enter the 21st century. This is my first smart phone. I only paid a penny, and I'm very happy with it. It's fairly easy to use. My kids LOVE playing with the pen, drawing on photos, etc. The service is great. The colors are beautiful! I am definitely not an apple fan, but I do like Siri better than the S voice. She works better, and all my friends say the voice on my phone is creepy - seductive sounding. I got my brother to change the voice. He's good with technology, and it still took him a while, but it's better.",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"My husband just purchased this as a replacement for his Galaxy Nexus. He is thrilled with it. He loves the multi-tasking abilities, the vibrant screen, and the extra-long battery life. While at first it seems a lot larger than other phones, my husband has adapted to it and wouldn't want the screen to be any smaller. The only time that the size is a nuisance, is when he tries to carry in his front pocket. The phone is extremely fast and efficient. He didn't think that he would use the S Pen but he loves it and uses it all the time. This phone is like having your own personal computer with you at all times - there's really nothing that it can't do. According to him, ""the i-Phone is Mickey Mouse play compared to the Note 3.""",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"TOP DOG! IMO, best phone out there. Great for multitasking! excellent screen, fast!. lightweight. Camera takes great pictures in good lighting. S-Pen works great! speaker output nice and crisp. Battery life really good, if you turn off some un-needed functions like gestures, turn off GPS when your not needing it, turn off auto sync, and set screen time out to 30 sec.....I been getting easy 2 days without charging with light usage like streaming youtube, web browsing and some email. Call quality very good, can hear callers loud and sharp on Verizon network that is. 4G blazing fast on Verizon. Wifi antenna can be a little stronger. Overall a great phone by Samsung!",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
Love my phone I'm using it now. Only problem is it doesn't come with SIM card. Other than that great quality. Battery drains a little faster than should but awesome phone. Charger says connect to original charger when first plugged in but just wiggle a little bit and is fine and charges very fast,13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Over the years I've always had great phone's, however; I must say this is the BEST phone I have ever owned. I had taken four months to research all of the phones out there and am pleased that I settled on the 'Samsung Galaxy Note 3"". Many of my friends and family tried to talk me out of it, stating it was just to big, and it certainly does look big on display, but once you get it in your hand, it fits perfectly! Now that I own it, all of my friends and family want one! The look and feel of the phone is amazing! The size of the screen is awesome! I also love how you can 'hand write your text messages with your stylus pen, or you can hand write and have it automatically convert to a block style message or you can still use the keyboard if you like! I always hand write my text messages as I've never liked using a keyboard. I also love that I can jot down notes with my stylus pen, I use this feature a LOT for my work. The speakers sound GREAT - when listening to music, the mix of tones is crisp and clean while blending beautifully! I use my phone ALL of the time, and the battery life is AMAZING and especially compared to all of my previous phones! I can't say enough GOOD about this phone. I've owned it for a month now and still haven't even touched on all of the great features this phone has! I hope they come out with a Galaxy Note (4) in a few years because there is no doubt that will be my next phone! Thanks AMAZON! Your impeccable service is appreciated!!!!!",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
I have ever used....I had the iphone 4S and have to say I did not think it was worth the price. This Samsung Galaxy Note 3 however is worth every penny. I'm not a techno genius and you don't need to be with this phone. The calls are clear...the display is vibrant and easy to see (love the larger screen)...it was actually the camera that sold me on this phone....but I am digging the S-pen and the other gadgets it has. While I will admit apple seems to have more apps this android has all the apps that I was using on my iphone. All in all I say it is the best phone even though the Galaxy S5 has hit the market.,13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Great phone. I was considering to by the Sony phone, but I needed something cheaper. I am very satisfied with it. Very easy to use and I use many-many functions on it. The battery life is great too, unless I acidentally leave on the WiFi or use the GPS. These deplete my battery much faster. The only problem with this phone that it is impossible to change contacts, email or texting background dark or black. That's a little disturbing but if you can get over this it is a great device.",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I have quickly come to find the size of the screen to be far superior to my old S3. I would never go back to a smaller phone's screen. The Note 3 is very detailed, colors are vibrant and I see no pixels even when the image is magnified. I was a bot reluctant to buy a refurbished phone, but Breed sent a phone indistinguishable from new. Also, the accessories for an older model are FAR cheaper than the new Note 5. As for the Note 5, the lack of a removable battery and sd card were deal breakers for me.",13-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Thought this phone would be much faster, but its no faster than my old phone. The picture quality is ok. Just disappointed over all. Plus the seller sent me the wrong charger, so I had to go out and purchase one. Not a satisfied customer!",14-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"love, love, LOVE this phone. It was cheaper on here then buying it through Verizon. I received it quickly and was able to quickly and easily get it set up. This phone works great, I haven't had any major problems with it. The only problems I have had are typical phone problems like it freezing up on me; but after taking the battery out and turning it back on it is fine again and that hasn't even happened as often as other phones I've had. My previous phone was the LG G2, I think the Note 3 is a million times better.",14-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I don't play a whole lot of games or do a whole lot of social media, so this is probably more phone than I need. I do take a lot of pictures and videos and it is wonderful for that. The sound recording on this phone is pretty good. I record music and sometimes kick back and video a group when they are doing well. The quality is excellent!! One of the reasons I picked this phone.",14-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
Finally something that has my heart this is the best phone I have ever owned. I carry two and the other is an IPHONE. But hands down this phone does everything and I would never go back to any other kind. It is big enough for viewing and I love the touch enlarging. Battery lasts all day even with steady use. I love the way it can be customized to fit your needs. Tons of emails every day make this Note 3 my best choice for a phone no matter what the needs you have.,14-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"The phone arrived on time and works very well, Also the phone is in really good cosmetic condition. I got it for my husband we will see if it continues to work well. I will let you know as we go.",14-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Big screen, long battery life, and powerful specs. What more could you ask for? This is the top of the line smart phone right now. Beware, I have had issues with the stock charging cable.It is USB 3.0, and is slightly larger that a normal USB 2.0 from most other phones. Plugging in the 3.0 charger will sometimes work, but mostly it doesn't You may have to use an old charger, but the battery is so big that it will take you a while to fully charge that way. Search for ""USB 3 cable not charging"" on andriod central to see others with the same problem.",14-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Nothing compares to this phone. Everything else is inferior. Everything else is too small, or too slow. The Note 3 is the finest device ever made, period. I can't imagine texting or browsing or watching on something smaller than this now that I've had it for a while. The camera takes great pics & video, very fast. I'm also quite happy with Verizon so far. Fast data downloads and much better call clarity & service in my area than other carriers I've tried.",14-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"LOVE LOVE...Absolutely, love this phone!!. I am not crazy about Verizon. I received my first bill before I had the phone a week. Higher that I expected. I was charged an activation fee of an extra $45. The data really goes fast, but I have learned to use WI-FI. Still, Samsun outdid themselves with this phone. It has a glitch thing about touching the icons and the screen jumps to the next page. Still love the phone though. Waiting to see when the Note 5 comes out",14-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I finally had to break down and purchase a new phone to replace the flip I had been using for about 10 years. I chose this because it was highly rated by all the reviews I read and I absolutely refused to be a moronic lemming and purchase an iPOS. The price through Amazon was better than what I could do through Verizon and the setup was absolutely painless. I am NOT too thrilled about the $50 increase in my monthly bill, but that's what you get for going from a no-frills flip phone to a ""phablet"".",14-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Wish this phone would of worked as the screen quality and size are great. Sadly, Verizon says the phone is obsolete and no longer supported.",14-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Fantastic, never had a Smartphone before, and it's nice to know that it is user friendly. Very much fun, and going to have a heck of a time figuring all the cool things out. I especially love the stylus since I hate using my fingers to work on a screen. I always feel like my fingers are going to smudge up the screen, so the stylus really helps me out with that. Not tried any of the apps yet, but I'm probably going to be doing a lot of exploring on it, as I said. Excellent phone, and tons of fun. Even my husband, who is through Tracfone, was considering on getting one through his provider. All my phones have been Samsungs, from the first phone which I cannot remember the name of, to my Samsung Intensity II, and now my Samsung Galaxy Note 3. I love it!",14-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"It's an alright, solid phone. The pen is a great feature for drawing and editing photos. Though i honestly dont use it all that much. Its a little wide making it hard to put in a pocket or do one handed. This phone is however only slightly bigger than an S5. It has a good processor and is easy to use. The call quality however is crap. It sounds like your underwater. The camera is also poor and I have difficulty getting a sharp image.",14-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I wondered why GPS took me in circles. I went into Verizon, they said they quit supporting the Note 3. I had to get a new phone.",15-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"It is exactly as it was described. It works perfectly, with minor scratches. It came with all the necessary items to use for a day to day basis. The cell phone company had no issue of making this phone my primiary cell phone.",15-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Does not have as many screens as my original note 3, which has 7 windows. This one only has 5",15-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"So far so good. Bought this to replace the Samsung Note II when upgrade eligibility came around. Note 2 screen cracks easily and I suspects that this ""gorilla"" glass will break easily too. Just make sure you have a protective case just in case you drop it. Functionality is great. Battery life is exceptional compare to Note 2 and Droid Razor. Pictures are exquisite compare to the Iphone according to several I Phone owners that saw my pictures.",15-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Phone works great but I would say the phone was in good condition if not a bit lower. There are a lot of chips on the chrome trim around the screen. The back leather part has a few scratches on the back, fading around the camera, and looks like fading all in the middle, it kind of looks like there is dust all over the back that wont come off. I will post pictures in a bit.",15-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Can't beat price and not even refurbished. Saved over 400.00 will buy next phone this eay. Only problem, my Verizon store was really not very interested in transferring photos and setting it up without them selling it to me. Main drawback.",15-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"This phone works really great. It runs all the latest apps with no freezing or slowdowns. The screen is bright and very sharp. Both the front and rear cameras work well, and the flash doubles as a very bright flashlight. I've dropped it and sat on it and even dunked it in the swing pool. It still works flawlessly.",15-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Phone is everything previous reviews have noted. More phone than 90% of folks would ever use. One thing that has been a bit of a disappointment has been reception. As some have noted this phone for whatever reason on Verizon , reception is average. I am 2000 ft from my cell tower and have yet to see more than 4 mb down on 4g. When I am closer to other towers I have seen 39mb down on 4G so I know the product is capable. Mind you it is possible that this tower is saturated as I never saw more than 13 mb down on myDroid Razr Maxx. Voice reception has dropped off as well and at times fades out but returns in the same location. Never had that issue with the Razr. Here is hoping that software updates resolve some of it....... Other than that...amazing device",15-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
Love my new Note 3! Great features...one being that I can actually see it! I was worried about moving away from my old smart phone with a slide out keyboard as I'm part of the...ahem...more mature crowd and my eyes & fingers aren't what they used to be. No problems whatsoever...I text like a pro on this!,15-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
I traded to this from the iphone 5. It was the greatest change in my life. I love this phone i can go 20 hours easily even more. If you leave it in stand bye mode you can leave it for days. I just wish it had kitkat for verizon. I also wish there was a nice dock for it. Its awkward because of the usb 3.0. Its a different plug and if you use the old 2.0 connection it takes long to charge it,15-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
